Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.165630641297193,0.0179082360041747,0.022829210657676,0,0,0,272.346349793285,10.9162892535691,-6.76633079284096,-8.62563967851044,72.7655017894727,-0.932617236984803,72.308198141046,0,0,0,0,0,0,package://fengji.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/base_link.STL,,主轴-1,主轴,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lungu,-0.467204258500917,-0.0505159959738819,-0.0643960454107457,0,0,0,342.192121148522,132.404989858656,2.69547291066393,3.43554850478235,107.768125957428,0.371706194045521,107.950635560433,0,0,0,0,0,0,package://fengji.SLDASM/meshes/lungu.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/lungu.STL,,轮毂-1,轮毂,Axis_lungu_joint,lungu_joint,continuous,1.85840601946602,0.200933716286784,0.256147913323616,0,0,0,base_link,0.98500039271603,0.106499735546781,0.135764622334881,,,,,,,,,,,,
yepain 1,-1.64929555775636,1.29182760616608,10.0670063691155,0,0,0,14116.889117413,1104760.38957161,20411.5462683365,161626.457683034,1113084.48539752,-138028.885873423,44058.6062979787,0,0,0,0,0,0,package://fengji.SLDASM/meshes/yepain 1.STL,1,1,1,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/yepain 1.STL,,零件1-3,左风叶,Axis_yepain 1_joint,yepain 1_joint,fixed,-0.617950886185078,0.08452776677278,1.00670976238828,0,0,0,lungu,0,0,0,,,,,,,,,,,,
yepain 2,-0.116416090742684,8.10472132982665,-6.32732132763552,0,0,0,14117.1494142448,1129129.18449919,-1359.9961899185,266.874734432561,421599.750572989,545077.30832204,711285.895908424,0,0,0,0,0,0,package://fengji.SLDASM/meshes/yepain 2.STL,1,1,1,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/yepain 2.STL,,零件1-1,上风叶,Axis_yepain 2_joint,yepain 2_joint,fixed,-0.458024722628691,0.815184823695603,-0.726745932325898,0,0,0,lungu,0,0,0,,,,,,,,,,,,
yepain 3,1.42475542181582,-9.44563870338292,-3.79956420863009,0,0,0,14122.429723969,1102615.57901336,157619.861385402,63661.1096068493,183533.822411265,-382931.452621778,975854.677863295,0,0,0,0,0,0,package://fengji.SLDASM/meshes/yepain 3.STL,1,1,1,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/yepain 3.STL,,零件1-2,下风叶,Axis_yepain 3_joint,yepain 3_joint,fixed,-0.292201516394348,-1.04764381273544,-0.468544139170191,0,0,0,lungu,0,0,0,,,,,,,,,,,,
lunguzhao,-0.0763047995433723,-0.00823097621743329,-0.0104726108452695,0,0,0,272.501354674745,161.117708811838,-1.08253835068979,-1.37452224479337,170.81635914172,-0.151949805509506,170.743133676253,0,0,0,0,0,0,package://fengji.SLDASM/meshes/lunguzhao.STL,1,1,1,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/lunguzhao.STL,,轮毂罩-1,轮毂罩,Axis_lunguzhao_joint,lunguzhao_joint,fixed,-0.122698370986623,-0.013266862496323,-0.0169135413160291,0,0,0,lungu,0,0,0,,,,,,,,,,,,
jicang,0.439901939448259,-0.0356931044838689,0.0651110245406841,0,0,0,557.11146700398,743.929000725066,-17.4432458302383,-91.280156269588,1461.17004732392,-2.85142519948336,1401.70401219652,0,0,0,0,0,0,package://fengji.SLDASM/meshes/jicang.STL,1,1,1,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/jicang.STL,,机舱-1,机舱,Axis_jicang_joint,jicang_joint,fixed,-1.96022414085405,0.106215445664645,-0.269810565176655,0,0,0,base_link,0,0,0,,,,,,,,,,,,
gan1,7.29235734908684E-06,-0.00632719577873075,3.88667783113306E-05,0,0,0,3877.51644131659,157511.386776764,177.57913820068,-1.09083537998896,3435.49243616031,946.460613062726,157505.777513892,0,0,0,0,0,0,package://fengji.SLDASM/meshes/gan1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/gan1.STL,,塔筒3-1,gan1,Axis_gan1_joint,gan1_joint,fixed,0.869326894833932,-12.600189840644,0.196992032656595,0,0,0,jicang,0,0,0,,,,,,,,,,,,
gan2,-0.0344112225790365,23.8659068656556,-0.132894747517028,0,0,0,5021.62109848233,243778.948627173,273.790289248583,-1.68184245760122,6225.79849290606,1459.24643873233,243770.300304402,0,0,0,0,0,0,package://fengji.SLDASM/meshes/gan2.STL,1,1,1,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/gan2.STL,,塔筒2-1,gan3,Axis_gan2_joint,gan2_joint,continuous,0.0607859324870628,-46.7498585303854,0.273466575733096,0,0,0,gan1,0.00115251924928122,-0.999980469322186,0.00614269269618746,,,,,,,,,,,,
gan3,-4.72233287140966E-07,-0.00165276416388771,1.7487650353587E-05,0,0,0,5632.82725606995,272958.721490901,632.352079686023,-46.0284100510135,8968.41130106951,970.128848667592,273021.413603526,0,0,0,0,0,0,package://fengji.SLDASM/meshes/gan3.STL,1,1,1,1,0,0,0,0,0,0,package://fengji.SLDASM/meshes/gan3.STL,,塔筒1-2,gan3,Axis_gan3_jiont,gan3_jiont,fixed,0,0,0,0,0,0,gan2,0,0,0,,,,,,,,,,,,
